Name,Location,Start date,End date,Type,Format,Rounds,URL,Special,Continent,Category,Live games,Prize Fund,Description,Venue,Landing,Players
57th annual Liberty Bell Open - Major,Philadelphia - USA,January 17,January 20,Open,Classical,,https://ratings.fide.com/report.phtml?event=398999&t=0,,North America,,,,,,,Awonder Liang
Spanish Team Championship Honor Division,Spain,January 18,January 18,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,
Zone 3.6 Men's and Women's Zonals,Melbourne - Australia,January 24,January 29,Zonal,Classical,9,https://sites.google.com/view/2025oceaniazonals/home,,Oceania,Women,,,,,,
Czech Extraliga 2024/2025 Rounds 5-6,Czech Republic,January 25,January 26,Teams,Classical,,https://chess-results.com/tnr976915.aspx?lan=1&art=83&turdet=YES,,Europe,,,,,,,"David Navara, Nils Grandelius, Ivan Saric, Pavel Eljanov, Anton Korobov"
Women's Bundesliga Rounds 3-4,Germany,January 25,January 26,Teams,Classical,,https://lichess.org/broadcast/german-bundesliga-202425--womens-bundesliga/round-3/7AvaEQsX#teams,,Europe,women,,,,,,"Elisabeth Paehtz, Dinara Wagner, Mai Narva, Nurgyul Salimova, Teodora Injac, Aleksandra Maltsevskaya, Oliwia Kiolbasa, Klaudia Kulon, Karina Cyfka, Stavroula Tsolakidou, Nino Batsiashvili, Lela Javakhishvili, Bella Khotenashvili, Ekaterina Atalik"
Spanish Team Championship Honor Division,Spain,January 25,January 25,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,"Kirill Alekseenko, Anna Muzychuk, Ivan Cheparinov, Sabrina Vega Gutierrez"
62nd Annual Baltimore Open - Championship,Linthicum - USA,January 31,February 2,Open,Classical,,https://ratings.fide.com/report.phtml?event=402918&t=0,,North America,,,,,,,Awonder Liang
Azerbaijan Men's Championship,Baku - Azerbaijan,February 1,February 15,National,Classical,,https://calendar.chessdom.com/azerbaijan-mens-championship-2025/,yes,Asia,,,,,,,"Shakhriyar Mamedyarov, Rauf Mamedov, Teimour Radjabov, Suleymanli, Abasov, Durarbayli, Safarli"
Bundesliga Rounds 7-8,Germany,February 1,February 2,Teams,Classical,,https://schachbundesliga.de/ansetzungen/2024/BL,,Europe,,,,,,,"Ivan Saric, David Navara, M. Amin Tabatabaei, Jaime Santos Latasa, Shakhriyar Mamedyarov, Chithambaram VR. Aravindh, David Anton Guijarro, Anton Korobov, Bassem Amin, Yagiz Kaan Erdogmus, Georg Meier, Aleksandar Indjic, Alireza Firouzja, Viswanathan Anand, Levon Aronian, Maxime Vachier-Lagrave, Richard Rapport, Peter Svidler, Radoslaw Wojtaszek, Ian Nepomniachtchi, Wesley So, Santosh Gujrathi Vidit, Javokhir Sindarov, Andrey Esipenko, Raunak Sadhwani, Jan Gustafsson, Laurent Fressinet, Rasmus Savane, "
Spanish Team Championship Honor Division,Spain,February 1,February 1,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,Sabrina Vega Gutierrez
2nd International Chess Tournament “Al-Beruniy”,Tashkent - Uzbekistan,February 2,February 12,Open,Classical,9,https://ratings.fide.com/report.phtml?event=403959&t=0,,Asia,,,,,,,"Shant Sargysan, Volodar Murzin, Haik M. Martirosyan, Qun Ma, Sanan Sjugirov, Afruza Khamdamova"
84th Georgian Women's Championship,Tbilisi - Georgia,February 3,February 12,National,Classical,,https://chess-results.com/tnr1111229.aspx?lan=1,,Europe,women,,,,,,"Nana Dzagnidze, Meri Arabidze, Bella Khotenashvili"
Azerbaijan Women's Chess Championship 2025,Baku - Azerbaijan,February 4,February 15,KO,Classical,,https://lichess.org/broadcast/azerbaijan-chess-championship-2025--women/round-of-16--game-1/SnSLGLMD,,Europe,women,,,,,,"Gunay Mammadzada, Govhar Beydullayeva, Ulviyya Fataliyeva, Khanim Balajayeva"
Freestyle Weissenhaus,Weissenhaus - Germany,February 7,February 14,KO,Freestyle,,https://calendar.chessdom.com/freestyle-chess-grand-slam-tour-2025-weissenhaus/,yes,Europe,,,,,,,"Vincent Keymer, Fabiano Caruana, Magnus Carlsen,  Sindarov, Nakamura, Abdusattorov, Firouzja, Gukesh D, Aronian, Fedoseev"
Norwegian Team League 2024/2025 Rounds 4-6,Norway,February 7,February 9,Teams,Classical,,https://lichess.org/broadcast/norwegian-team-league-2425/round-6/ADVsfDxw#teams,,Europe,,,,,,,
Dutch Team Championship Round 6,Netherlands,February 8,February 8,Teams,Classical,,https://chess-results.com/tnr1112961.aspx?lan=1&art=1,,Europe,,,,,,,"M. Amin Tabatabaei, Daniel Dardha"
Spanish Team Championship Honor Division,Spain,February 8,February 8,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,Sabrina Vega Gutierrez
Czech Extraliga 2024/2025 Rounds 7-8,Czech Republic,February 8,February 9,Teams,Classical,,https://chess-results.com/tnr976915.aspx?lan=1&art=83&turdet=YES,,Europe,,,,,,,"Shreyas Royal, Anton Korobov, Pavel Eljanov, Radoslaw Wojtaszek, Pentala Harikrishna, David Navara, Thai Dai Van Nguyen, Nils Grandelius, Ivan Saric, Erwin L'Ami"
Palle Skov Memorial 2025,Hillerod - Norway,February 8,February 15,RR,Classical,,https://lichess.org/broadcast/palle-skov-memorial--gm/round-1/Z3unUR7G,,Europe,,,,,,,Song Yuxin
16th annual Southwest Class Championships - Master,Irving - USA,February 13,February 17,Open,Classical,,https://ratings.fide.com/report.phtml?event=399004&t=0,,North America,,,,,,,"Awonder Liang, Rose Atwell, Andy Woodward"
Romanian National Senior Championship 2025,Romania,February 14,February 23,Open,Classical,,https://frsah.ro/,,Europe,seniors,,,,,,
Romanian National Women Senior Championship 2025,Romania,February 14,February 23,Open,Classical,,https://frsah.ro/,,Europe,seniors,,,,,,
Djerba International Chess Festival,Djerba - Tunisia,February 15,February 23,Open,Classical,9,https://calendar.chessdom.com/djerba-international-chess-festival-2025/,yes,Africa,,,,,,,"David Navara, Jules Moussard, Marc' Andria Maurizzi, Etienne Bacrot, Parham Maghsoodloo, M. Amin Tabatabaei, Volodar Murzin, Faustino Oro, Daniel Dardha"
Women's Bundesliga Rounds 5-6,Germany,February 15,February 16,Teams,Classical,,https://lichess.org/broadcast/german-bundesliga-202425--womens-bundesliga/round-3/7AvaEQsX#teams,,Europe,women,,,,,,"Dinara Wagner, Mai Narva, Anna Zatonskih, Aleksandra Maltsevskaya, Oliwia Kiolbasa, Stavroula Tsolakidou, Nino Batsiashvili, Lela Javakhishvili, Bella Khotenashvili, Irina Bulmaga, Ekaterina Atalik"
Spanish Team Championship Honor Division,Spain,February 15,February 15,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,"Kirill Alekseenko, Sabrina Vega Gutierrez"
Chessable Masters 2025,Online,February 16,February 21,KO,Rapid,,https://www.chess.com/events/info/2025-champions-chess-tour-chessable-masters,,Online,,,,,,,"Magnus Carlsen, Hikaru Nakamura, Erigaisi Arjun, Ian Nepomniachtchi, Jan-Krzysztof Duda, Alireza Firouzja, Yangyi Yu, Andrey Esipenko, Vladislav Artemiev, Fabiano Caruana, Yi Wei, Anish Giri, Wesley So, Alexander Grischuk, Sam Sevian, Praggnanandhaa R."
FIDE World Senior Team Championships,Prague - Czechia,February 16,February 27,FIDE Teams,Classical,9,https://www.wstcc2025.net/,,Europe,seniors,,,,,,
FIDE Women's Grand Prix 3rd Leg - Monaco,Monaco,February 17,February 28,RR,Classical,,https://womengrandprix.fide.com/cyprus2025/results,yes,Europe,women,,,,,,"Aleksandra Goryachkina, Koneru Humpy, Batkhuyag Munguntuul, Tan Zhongyi, Kateryna Lago, Alexandra Kosteniuk, Sarasadat Khademalsharieh, Harika Dronavili, Bibisara Assaubayeva, Elisabeth Paehtz"
FIDE Women's Grand Prix 3rd Leg,Monte Carlo - Monaco,February 17,February 28,World Championship cycle,Classical,9,https://calendar.chessdom.com/fide-womens-grand-prix-3rd-leg-monaco/,yes,Europe,Women,,,,,,
Romanian Amateur Chess Championship,Romania,February 17,February 23,Open,Classical,,https://frsah.ro/,,Europe,,,,,,,
Djerba International Chess Festival 2025 (Blitz),Djerba - Tunisia,February 19,February 19,Open,Blitz,,https://chess-results.com/tnr1108090.aspx?lan=1,,Africa,,,,,,,"Parham Maghsoodloo, Jules Moussard, Daniel Dardha, Marc' Andria Maurizzi, Faustino Oro"
Andrey Esipenko vs Richard Rapport,Rostov-on-Don - Russia,February 21,February 22,Match,Blitz,,https://chess-results.com/tnr1104895.aspx?lan=1&art=1,,Asia,,,,,,,"Andrey Esipenko, Richard Rapport"
Bundesliga Rounds 9-10,Germany,February 22,February 23,Teams,Classical,,https://schachbundesliga.de/ansetzungen/2024/BL,,Europe,,,,,,,"Ivan Saric, Laurent Fressinet, Jonas Buhl Bjerre, Frederik Svane, Rasmus Svane, Vincent Keymer, Rustam Kasimdzhanov, Radoslaw Wojtaszek, Nikita Vitiugov, Alexei Shirov, Max Warmerdam, Pentala Harikrishna, Erwin L'Ami, Vladimir Fedoseev, Wesley So, Yi Wei, Anish Giri, Yangyi Yu, Javokhir Sindarov, Jorden Van Foreest, Raunak Sadhwani, Jan Gustafsson, Aleksandar Indjic, Shakhriyar Mamedyarov, Alexey Sarana, David Anton Guijarro, Anton Korobov, Yagiz Kaan Erdogmus, Georg Meier, Dinara Wagner"
Spanish Team Championship Honor Division,Spain,February 22,February 22,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,Sabrina Vega Gutierrez
FIDE World Junior U20 Championships,Petrovac - Montenegro,February 23,March 8,FIDE Juniors,Classical,11,https://worldjunior2025.sahcg.me/,,Europe,juniors,,,,,,"Lu Miaoyi, Anna Shukhman, Yuxin Song"
Prague International Chess Festival Challengers,Prague - Czechia,February 25,March 7,RR,Classical,9,https://calendar.chessdom.com/prague-international-chess-festival-challengers-2025/,yes,Europe,,,,,,,"Nodirbek Yakubboev, Jonas Buhl Bjerre, Marc' Andria Maurizzi, Ma Qun, Ivan Salgado Lopez, Finek, Divya Deshmukh, Kourkoulos-Arditis, Stalmach, Nemec"
Prague International Chess Festival Masters,Prague - Czechia,February 25,March 7,RR,Classical,9,https://calendar.chessdom.com/prague-international-chess-festival-masters-2025/,yes,Europe,,,,,,,"Praggnanandhaa R, Wei Yi, Quang Liem Le, Chithambaram VR. Aravindh, Vincent Keymer, Anish Giri, Ediz Gurel, Thai Dai Van Nguyen, David Navara, Sam Shankland"
Aeroflot Open,Moscow - Russia,February 28,March 7,Open,Classical,9,https://chess-results.com/tnr1118221.aspx,,Europe,,,,,,,"Ian Nepomniachtchi, Hans Niemann, Richard Rapport, Daniil Dubov, Polina Shuvalova, Andrey Esipenko, Vladislav Artemiev, Alexander Grischuk, Shamsiddin Vokhidov, M. Amin Tabatabaei, Raunak Sadhwani, Haik M. Martirosyan, Evgeniy Najer, Denis Lazavik, "
Austrian Women's Bundesliga 2024/2025 Rounds 4-6,Austria,February 28,March 2,Teams,Classical,,https://lichess.org/broadcast/austrian-womens-bundesliga-202425/round-1/4cUBkRVQ#boards,,Europe,women,,,,,,"Klaudia Kulon, Martyna Starosta, Stavroula Tsolakidou, Elina Danielian"
Korea National Championship,Seoul - Korea,February 28,March 3,Open,Classical,,http://kchess.or.kr/,,Asia,,,,,,,
Korea National Women Championship,Seoul - Korea,February 28,March 3,Open,Classical,,http://kchess.or.kr/,,Asia,women,,,,,,
British Rapidplay Championships 2025,Peterborough - England,March 1,March 2,Open,Rapid,,https://chess-results.com/tnr1123344.aspx,,Europe,,,,,,,"Gawain Jones, Ameet Ghasi, Nikita Vitiugov"
Spanish Team Championship Honor Division,Spain,March 1,March 1,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,Sabrina Vega Gutierrez
Hungarian Super League 2024/2025 Rounds 5-6,Hungary,March 1,March 2,Teams,Classical,,https://chess.hu/csapatbajnoksagok/?b=317,,Europe,,,,,,,"Sanan Sjugirov, Baadur Jobava, Aleksandar Indjic, Pavel Eljanov, Andrej Volokitin, Benjamin Gledura"
International Women Chess Tournament dedicated to memory of Ganira Pashayeva,Baku - Azerbaijan,March 2,March 4,RR,Rapid,,https://ratings.fide.com/report.phtml?event=414240&t=1,,Europe,women,,,,,,"Gunay Mammadzada, Govhar Beydullayeva, Ulviyya Fataliyeva, Khanim Balajayeva"
10 th anniversary of the Arabkir chess school,Yerevan - Armenia,March 2,March 2,Open,Blitz,,https://ratings.fide.com/report.phtml?event=412078&t=2,,Europe,,,,,,,Shant Sargsyan
Korea National Blitz Chess Championship,Seoul - Korea,March 3,March 3,Open,Blitz,,http://kchess.or.kr/,,Asia,,,,,,,
International Women Chess Tournament dedicated to memory of Ganira Pashayeva,Baku - Azerbaijan,March 5,March 5,Double RR,Blitz,,https://ratings.fide.com/report.phtml?event=414241&t=2,,Europe,women,,,,,,"Gunay Mammadzada, Govhar Beydullayeva, Ulviyya Fataliyeva, Khanim Balajayeva"
Hans Niemann vs Daniil Dubov Match,Moscow - Russia,March 7,March 8,Match,Blitz,,https://lichess.org/broadcast/hans-niemann-vs-daniil-dubov--levitov-chess/game-1/mp22hQ2X#players,,Asia,,,,,,,"Hans Niemann, Daniil Dubov"
Norwegian Team League 2024/2025 Rounds 7-9,Norway,March 7,March 9,Teams,Classical,,https://lichess.org/broadcast/norwegian-team-league-2425/round-6/ADVsfDxw#teams,,Europe,,,,,,,Magnus Carlsen
32nd annual Western Class Championships - Master,Irvine - USA,March 7,March 9,Open,Classical,,https://ratings.fide.com/report.phtml?event=399011&t=0,,North America,,,,,,,Rose Atwell
Turniej Otwarcia w ramach Arcymistrzowskiego Festiwalu Szachowego Kobiet 2025,Wroclaw - Poland,March 7,March 7,Open,Blitz,,https://ratings.fide.com/calculations.phtml?id_number=932400&period=2025-04-01&rating=2,,Europe,,,,,,,"Teodora Injac, Dinara Wagner, Aleksandra Maltsevskaya, Eline Roebers, Klaudia Kulon, Alina Kashlinskaya, Oliwia Kiolbasa, Karina Cyfka, Irina Bulmaga"
IV Memorial Apolonii Litwinskiej Wroclaw 2025,Wroclaw - Poland,March 8,March 9,Open,Rapid,,https://ratings.fide.com/report.phtml?event=408602&t=1,,Europe,,,,,,,"Alina Kashlinskaya, Dinara Wagner, Irina Bulmaga, Teodora Injac, Eline Roebers, Karina Cyfka"
Dutch Team Championship Round 7,Netherlands,March 8,March 8,Teams,Classical,,https://chess-results.com/tnr1112961.aspx?lan=1&art=1,,Europe,,,,,,,"Jorden Van Foreest, Miaoyi Lu, Raunak Sadhwani"
Korea National Rapid Chess Championship,Seoul - Korea,March 8,March 8,Open,Rapid,,http://kchess.or.kr/,,Asia,,,,,,,
Spanish Team Championship Honor Division,Spain,March 8,March 8,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,
"3rd International ""Women's Chess Championship"" Tournament ""A"" group",Samarkand - Uzbekistan,March 9,March 18,Women,Classical,,https://chess-results.com/tnr1134151.aspx,,Asia,Women,,,,,,"Polina Shuvalova, Leya Garifullina, Olga Girya, P.V Nandhidhaa, Anna Shukhman"
Memorial of Krystyna Holuj-Radzikowska 2025 ,Wroclaw - Poland,March 10,March 15,Teams,Classical,,https://lichess.org/broadcast/memorial-of-krystyna-holuj-radzikowska-2025-poland-vs-rest-of-the-world/round-1/uKy8Du6l,,Europe,,,,,,,"Alina Kashlinskaya, Teodora Injac, Aleksandra Maltsevskaya, Irina Bulmaga, Dinara Wagner, Klaudia Kulon, Karina Cyfka, Eline Roebers"
FIDE Women's Grand Prix 4th Leg,Nikosia - Cyprus,March 14,March 25,World Championship cycle,Classical,9,https://calendar.chessdom.com/fide-womens-grand-prix-4th-leg-cyprus/,yes,Europe,Women,,,,,,"Anna Muzychuk, Zhu Jiner, Harika Dronavalli, Mariya Muzychuk, Aleksandra Goryachkina, Nana Dzagnidze, Divya Deshmukh, Olga Badelka, Stavroula Tsolakidou, Elisabeth Paehtz"
International Chess Festival,Punta del Este - Uruguay,March 14,March 23,RR,Classical,,https://festivalajedrezpuntadeleste.com/,,South America,,,,,,,Faustino Oro
European Individual Chess Championship,Eforie-Noud - Romania,March 14,March 27,Continental,Classical,11,https://www.eicc2025.com/,,Europe,,,,,,,"Vasyl Ivanchuk, Bogdan-Daniel Deac, Alexey Sarana, Jorden van Foreest, Sargsyan, Daniel Dardha, David Anton Guijarro, David Navara, Radoslaw Wojtaszek, Benjamin Gledura, Frederik Svane, Daniil Yuffa, Mark Martirosyan, Ivan Saric, Dmitry Kollars, Ivan Cheparinov, Nils Grandelius, Matthias Bluebaum, Alexandr Predke, Jonas Buhl Bjerre, Hakobyan, Aydin Suleymanli, Hovhannisyan, Chigaev,  Ruslan Ponomariov, Sargissian, Volokitin, Marc' Andria Maurizzi, Aryan Tari, Donchenko, Santos Latasa, Rodshtein, Bartel, Ediz Gurel, Lagarde, Pichot, Abasov, Yagiz Kaan Erdogmus, Kuzubov, Kozak, Vocaturo"
American Cup,Saint Louis - USA,March 15,March 23,KO,Mixed,,https://calendar.chessdom.com/american-cup-2025/,yes,North America,,,,,,,"Nakamura, Caruana, Aronian, Sevian, So, Leinier Dominguez Perez, Robson, Mishra"
Women's American Cup,Saint Louis - USA,March 15,March 23,KO,Mixed,,https://calendar.chessdom.com/womens-american-cup-2025/,yes,North America,women,,,,,,
Women's Bundesliga Rounds 7-8,Germany,March 15,March 16,Teams,Classical,,https://lichess.org/broadcast/german-bundesliga-202425--womens-bundesliga/round-3/7AvaEQsX#teams,,Europe,women,,,,,,"Sarasadat Khademalsharieh, Alexandra Kosteniuk, Gunay Mammadzada, Lela Javakhishvili, Bella Khotenashvili, Ekaterina Atalik, Eline Roebers"
PILSEN OPEN 2025 A - GM round robin tournament,Pilsen - Czech Republic,March 15,March 22,RR,Classical,,https://chess-results.com/Tnr959090.aspx,,Europe,,,,,,,Song Yuxin
UAE Cup Teams Rapid Chess Championship 2025,Dubai - UAE,March 15,March 16,Teams,Rapid,,https://chess-results.com/tnr1138602.aspx?lan=1&art=3&rd=9,,Asia,,,,,,,"Vladislav Artemiev, Volodar Murzin, Daniil Dubov, Parham Maghsoodloo, A.R. Saleh Salem, Bassem Amin, "
Hafeet Sport Challenge ,Al Ain - UAE,March 17,March 17,Open,Blitz,,https://chess-results.com/tnr1139757.aspx?lan=1,,Asia,,,,,,,"Parham Maghsoodloo, A.R. Saleh Salem, Volodar Murzin"
18th Tashkent Open - Agzamov Memorial,Tashkent - Uzbekistan,March 19,March 30,Open,Classical,9,https://lichess.org/broadcast/18th-tashkent-open-agzamov-memorial--group-a/round-1/cwHJzFjw,,Asia,,,,,,,"Nihal Sarin, Shamsiddin Vokhidov, Aleksandar Indjic, Leon Luke Mendonca, Abhimanyu Puranik, Sanan Sjugirov, S L Narayanan, B. Adhiban, Mittal Aditya"
FIDE World School Championships,Vrnjacka Banja - Serbia,March 19,March 29,FIDE Juniors,Classical,9,https://wscc2025.com/,,Europe,juniors,,,,,,
Ukraine Clubs Teams Championship - 2025,Lvov - Ukraine,March 20,March 21,Teams,Blitz,,https://chess-results.com/tnr1122242.aspx?lan=1&art=1&turdet=YES,,Europe,,,,,,,Igor Kovalenko
29th annual Mid-America Open - Major,St Louis - USA,March 21,March 23,Open,Classical,,https://ratings.fide.com/report.phtml?event=399015&t=0,,North America,,,,,,,Awonder Liang
Abierto Blitz Punta del Este 2025,Punta del Este - Uruguay,March 21,March 21,Open,Blitz,,https://festivalajedrezpuntadeleste.com/,,South America,,,,,,,Faustino Oro
Punta del Este 2025 Rapid Open Tournament,Punta del Este - Uruguay,March 22,March 23,Open,Rapid,,https://festivalajedrezpuntadeleste.com/,,South America,,,,,,,Faustino Oro
Spanish Team Championship Honor Division,Spain,March 22,March 22,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,"Kirill Alekseenko, Sabrina Vega Gutierrez"
Bundesliga Rounds 11-12,Germany,March 22,March 23,Teams,Classical,,https://schachbundesliga.de/ansetzungen/2024/BL,,Europe,,,,,,,"Parham Maghsoodloo, Chithambaram VR. Aravindh, Anton Korobov, Bassem Amin, Georg Meier, Klaudia Kulon, Max Warmerdam, Pentala Harikrishna, Erwin L'Ami, Erigaisi Arjun, Ian Nepomniachtchi, Anish Giri, Javokhir Sindarov, Andrey Esipenko, Raunak Sadhwani, Jan Gustafsson, David W L Howell, Johan-Sebastian Christiansen, Vincent Keymer, Maxime Vachier-Lagrave, Richard Rapport, Nikita Vitiugov, Etienne Bacrot, Alexei Shirov, Gata Kamsky, Velimir Ivic, Laurent Fressinet, Dinara Wagner"
American Cup Blitz 2025,Saint Louis - USA,March 24,March 24,Open,Blitz,,https://calendar.chessdom.com/american-cup-blitz-2025/,yes,North America,,,,,,,"Hikaru Nakamura, Levon Aronian, Fabiano Caruana, Samuel Sevian, Grigoriy Oparin, Benjamin Bok, Illya Nyzhnyk, Aryan Chopra, Leinier Dominguez Perez"
PNWCC IM Norm RR - Spring 2025,Seattle - USA,March 26,March 30,RR,Classical,,https://ratings.fide.com/report.phtml?event=409594&t=0,,North America,,,,,,,Rose Atwell
2025 Charlotte Spring Open - Championship,Charlotte - USA,March 28,March 30,Open,Classical,,https://www.charlottechesscenter.org/events/springopen,,North America,,,,,,,"Awonder Liang, Dina Belenkaya"
Czech Extraliga 2024/2025 Rounds 9-11,Czech Republic,March 28,March 30,Teams,Classical,,https://chess-results.com/tnr976915.aspx?lan=1&art=83&turdet=YES,,Europe,,,,,,,"Ivan Saric, Vasyl Ivanchuk, Anton Korobov, Daniel Dardha, Pentala Harikrishna, David Navara, Thai Dai Van Nguyen, Alexei Shirov"
Austrian Women's Bundesliga 2024/2025 Rounds 7-9,Austria,March 28,March 30,Teams,Classical,,https://lichess.org/broadcast/austrian-womens-bundesliga-202425/round-1/4cUBkRVQ#boards,,Europe,women,,,,,,"Klaudia Kulon, Alexandra Kosteniuk, Elina Danielian"
Danish Team Chess Championship Rounds 8-9,Denmark,March 29,March 30,Teams,Classical,,https://lichess.org/broadcast/danish-team-chess-championship-202425/round-8/VDxpncly#teams,,Europe,,,,,,,"Nils Grandelius, Jonas Buhl Bjerre, Frederik Svane"
Spanish Team Championship Honor Division,Spain,March 29,March 29,Teams,Classical,,https://chess-results.com/tnr1093307.aspx?lan=1&art=16&turdet=YES&flag=30,,Europe,,,,,,,
European Women's Championship,Rhodes - Greece,March 31,April 12,Continental,Classical,11,https://www.chessdom.com/the-european-womens-chess-championship/,,Europe,Women,,,,,,"Alexandra Kosteniuk, Antonaneta Stevanofa, Ana Matnadze, Meri Arabidze, Dinara Wagner, Sarasadat Khademalsharieh, Elisabeth Paehtz, Bella Khotenashvili, Mai Narva, Anna Ushenina, Yuliia Osmak, Aleksandra Maltsevskaya, Eline Roebers, Teodora Injac, Nino Batsiashvili"
PNWCC IM Norm RR - April 2025,Redmond - USA,April 1,April 5,RR,Classical,,https://ratings.fide.com/report.phtml?event=413366&t=0,,North America,,,,,,,Rose Atwell
Africa Zone 4.2 Women Chess,Lagos - Nigeria,April 1,April 8,Zonal,Classical,9,https://www.chessdom.com/africa-zone-4-2-women-chess-2025/,,Africa,Women,,,,,,
Africa Zone 4.2 Chess Championship,Lagos - Nigeria,April 1,April 8,Zonal,Classical,9,https://www.chessdom.com/africa-zone-4-2-chess-championship-2025/,,Africa,,,,,,,
